timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605369607,56,68,63,62
1605369608,56,69,63,63
1605369609,55,69,63,63
1605369610,55,69,64,64
1605369611,55,69,64,64
1605369612,55,70,64,65
1605369613,55,70,66,65
1605369614,55,70,67,66
1605369615,55,70,67,66
1605369616,55,71,68,66
1605369617,55,71,68,67
1605369618,55,71,69,67
1605369619,55,71,69,67
1605369620,55,71,66,67
1605369621,55,71,66,67
1605369622,54,71,66,67
1605369623,54,71,66,66
1605369624,54,72,66,66
1605369625,54,72,66,66
1605369626,54,73,66,65
1605369627,54,73,66,65
1605369628,54,73,65,65
1605369629,54,73,65,64
1605369630,54,73,64,64
1605369632,54,74,64,63
1605369633,54,74,63,63
1605369634,55,74,62,63
1605369635,55,74,61,63
1605369636,55,74,61,63
1605369637,54,74,60,63
1605369638,54,74,60,63
1605369639,54,74,60,64
1605369640,54,74,60,64
1605369641,54,74,61,64
1605369642,54,73,61,64
1605369643,54,72,62,64
1605369644,54,72,63,64
1605369645,54,71,64,64
1605369646,54,71,65,65
1605369647,54,71,65,65
1605369648,55,70,66,65
1605369649,55,70,66,65
1605369650,55,70,66,66
1605369651,55,71,67,66
1605369652,56,71,67,66
1605369653,56,71,67,66
1605369654,56,71,67,66
1605369655,56,72,67,67
1605369656,56,72,67,66
1605369657,56,72,67,66
1605369658,56,73,68,66
1605369659,56,73,68,66
1605369660,56,73,68,66
1605369661,56,72,69,66
1605369662,55,72,69,67
1605369663,55,72,70,67
1605369664,55,72,70,66
1605369665,55,73,70,66
1605369666,54,72,70,66
1605369667,54,73,70,66
1605369668,54,73,70,66
1605369669,54,73,70,66
1605369670,54,74,70,66
1605369671,54,74,70,65
1605369672,54,75,70,65
1605369673,54,75,70,65
1605369674,54,74,70,65
1605369675,54,74,70,65
1605369676,54,74,71,65
1605369677,55,74,71,66
1605369678,55,73,71,66
1605369679,55,72,71,66
1605369680,55,71,71,66
1605369681,55,70,71,66
1605369682,55,69,71,66
1605369683,55,69,70,66
1605369684,55,68,69,66
1605369685,55,68,68,66
1605369686,55,68,68,66
1605369687,55,68,67,66
1605369688,55,68,67,66
1605369689,54,68,67,66
1605369690,54,68,66,66
1605369691,54,69,66,66
1605369692,54,69,66,66
1605369693,54,69,66,66
1605369694,55,69,66,65
1605369695,55,69,66,65
1605369696,56,69,66,64
1605369697,56,69,66,64
1605369698,57,70,66,63
1605369699,57,69,66,63
1605369700,58,69,66,63
1605369701,58,69,66,63
1605369702,58,69,66,62
1605369703,58,69,66,62
1605369704,58,69,66,62
1605369705,58,69,66,62
1605369706,58,69,66,63
1605369707,58,69,66,63
1605369708,57,69,66,63
1605369709,57,69,67,63
1605369710,57,69,67,63
1605369711,57,69,66,63
1605369712,57,69,66,64
1605369713,57,69,66,64
1605369714,57,69,66,64
1605369715,57,68,66,64
1605369716,58,68,66,64
1605369717,58,68,65,64
1605369718,58,68,65,65
1605369719,58,68,64,65
1605369720,58,68,64,65
1605369721,59,68,63,65
1605369722,59,68,62,65
1605369723,59,68,62,65
1605369724,59,68,62,64
1605369725,59,69,62,64
1605369726,58,69,62,64
1605369727,58,69,63,64
1605369728,57,69,64,64
1605369729,57,68,65,63
1605369730,56,68,66,63
1605369731,56,68,67,63
1605369732,55,68,68,62
1605369733,55,68,68,62
1605369734,55,68,69,62
1605369735,55,68,69,62
1605369736,55,68,70,63
1605369737,55,68,71,63
1605369738,55,68,70,63
1605369739,54,68,70,63
1605369740,54,69,70,64
1605369741,54,69,70,64
1605369742,54,69,69,64
1605369743,54,68,68,64
1605369744,55,68,68,64
1605369745,55,68,68,64
1605369746,55,67,67,65
1605369747,55,67,66,65
1605369748,55,67,66,65
1605369749,55,67,66,65
1605369750,56,67,65,63
1605369751,56,67,65,64
1605369752,56,67,65,64
1605369753,56,67,65,64
1605369754,56,68,64,65
1605369755,57,68,64,65
1605369756,57,68,64,65
1605369757,57,69,64,65
1605369758,58,69,63,64
1605369759,58,69,63,64
1605369760,58,69,63,64
1605369761,58,69,63,64
1605369762,58,69,64,64
1605369763,58,69,64,64
1605369764,57,68,64,63
