Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.8148148148148149,0.7272727272727273,0.6451612903225806,0.8333333333333334,0.75,0.00012057054846081883,120,72,48
Fault Free,2.5,0.719733656174334,0.6065934065934065,0.4808362369337979,0.8214285714285714,0.6133909287257019,0.0002761613577604294,463,295,168
Fault Free,20,0.8250750750750749,0.6875,0.7857142857142857,0.6111111111111112,0.8181818181818182,0.00015096942661330104,55,37,18
Fault Free,25,0.9086021505376345,0.8571428571428571,0.9230769230769231,0.8,0.9130434782608695,0.00021679566998500377,46,31,15
Fault Free,5,0.7804631441617743,0.696969696969697,0.7419354838709677,0.6571428571428571,0.7609561752988048,0.0003466346825007349,251,146,105
Fault Free,50,0.7555555555555555,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.00014943974383641034,24,15,9
Faulty (F+A),10,0.6296296296296297,0.588957055214724,0.41739130434782606,1.0,0.44166666666666665,2.6699099180405028e-05,120,72,48
Faulty (F+A),2.5,0.5979822437449556,0.5665399239543726,0.41620111731843573,0.8869047619047619,0.5075593952483801,0.00014716893201693892,463,295,168
Faulty (F+A),20,0.6448948948948948,0.5517241379310345,0.4,0.8888888888888888,0.5272727272727272,2.9485743652912788e-05,55,37,18
Faulty (F+A),25,0.7924731182795699,0.7647058823529411,0.6842105263157895,0.8666666666666667,0.8260869565217391,6.600201595574617e-05,46,31,15
Faulty (F+A),5,0.6079256360078278,0.6052631578947368,0.4623115577889447,0.8761904761904762,0.5219123505976095,7.12130349711515e-05,251,146,105
Faulty (F+A),50,0.6444444444444445,0.6428571428571429,0.47368421052631576,1.0,0.5833333333333334,1.3446868251776323e-05,24,15,9
Sensor 1,10,0.7207754629629629,0.6792452830188679,0.6206896551724138,0.75,0.7166666666666667,0.00045404653064906597,120,72,48
Sensor 1,2.5,0.5588075060532687,0.5368248772504092,0.37020316027088035,0.9761904761904762,0.38876889848812096,0.00012295659689698368,463,295,168
Sensor 1,20,0.6659159159159159,0.5714285714285714,0.5,0.6666666666666666,0.6727272727272727,0.00021326771820895374,55,37,18
Sensor 1,25,0.7258064516129032,0.6153846153846154,0.5,0.8,0.6739130434782609,0.00015432597137987614,46,31,15
Sensor 1,5,0.6086431833007175,0.5915492957746479,0.42,1.0,0.42231075697211157,1.0533818567637354e-05,251,146,105
Sensor 1,50,0.7185185185185183,0.631578947368421,0.6,0.6666666666666666,0.7083333333333334,6.700436642859131e-05,24,15,9
Sensor 2,10,0.6740451388888888,0.6225165562913907,0.4563106796116505,0.9791666666666666,0.525,3.492475298116915e-05,120,72,48
Sensor 2,2.5,0.5105427764326069,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,4.5166860218159854e-05,463,295,168
Sensor 2,20,0.6426426426426426,0.5538461538461539,0.3829787234042553,1.0,0.4727272727272727,3.437225313973613e-05,55,37,18
Sensor 2,25,0.5268817204301075,0.5098039215686274,0.3611111111111111,0.8666666666666667,0.45652173913043476,1.3618349839816801e-05,46,31,15
Sensor 2,5,0.5073059360730595,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,6.516977009596303e-06,251,146,105
Sensor 2,50,0.6296296296296297,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,4.351510142441839e-06,24,15,9
Sensor 3,10,0.6385995370370372,0.6,0.47560975609756095,0.8125,0.5666666666666667,0.0003315285430289805,120,72,48
Sensor 3,2.5,0.5535310734463277,0.54421768707483,0.38095238095238093,0.9523809523809523,0.42116630669546434,0.0002739201008807868,463,295,168
Sensor 3,20,0.6073573573573573,0.5625,0.391304347826087,1.0,0.4909090909090909,0.00010230981570202857,55,37,18
Sensor 3,25,0.6956989247311828,0.6363636363636364,0.4827586206896552,0.9333333333333333,0.6521739130434783,0.0002281431807205081,46,31,15
Sensor 3,5,0.6430202217873451,0.6153846153846154,0.44635193133047213,0.9904761904761905,0.4820717131474104,0.00017524132272228599,251,146,105
Sensor 3,50,0.7777777777777778,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.00014912860933691263,24,15,9
Sensor 4,10,0.6249999999999999,0.5986394557823129,0.4444444444444444,0.9166666666666666,0.5083333333333333,0.0001604669087100774,120,72,48
Sensor 4,2.5,0.5357445520581113,0.5335463258785943,0.3646288209606987,0.9940476190476191,0.3693304535637149,7.194100180640817e-05,463,295,168
Sensor 4,20,0.6741741741741741,0.6274509803921569,0.48484848484848486,0.8888888888888888,0.6545454545454545,9.635830792831257e-05,55,37,18
Sensor 4,25,0.5795698924731183,0.5714285714285714,0.4444444444444444,0.8,0.6086956521739131,0.0001320230949204415,46,31,15
Sensor 4,5,0.5523483365949119,0.5919540229885057,0.42386831275720166,0.9809523809523809,0.4342629482071713,1.452804463042412e-05,251,146,105
Sensor 4,50,0.6222222222222222,0.6086956521739131,0.5,0.7777777777777778,0.625,2.8884573112009093e-05,24,15,9
