Dataset,Granularity,AUC,F1,Precision,Recall,Accuracy,Best_Threshold,Total Days,Normal,Anom
Fault Free,10,0.7274305555555555,0.6470588235294118,0.5,0.9166666666666666,0.6,0.00010959448263747618,120,72,48
Fault Free,2.5,0.7529761904761905,0.6189376443418014,0.5056603773584906,0.7976190476190477,0.6436285097192225,0.0003783500869758427,463,295,168
Fault Free,20,0.7987987987987988,0.6666666666666666,0.5333333333333333,0.8888888888888888,0.7090909090909091,9.281434176955372e-05,55,37,18
Fault Free,25,0.8913978494623657,0.8275862068965517,0.8571428571428571,0.8,0.8913043478260869,0.0002825640549417585,46,31,15
Fault Free,5,0.7676125244618396,0.6796116504854369,0.693069306930693,0.6666666666666666,0.7370517928286853,0.0005186157650314271,251,146,105
Fault Free,50,0.8074074074074075,0.7368421052631579,0.7,0.7777777777777778,0.7916666666666666,0.0001693693338893354,24,15,9
Faulty (F+A),10,0.5755208333333334,0.5818181818181818,0.41025641025641024,1.0,0.425,2.03648869501194e-05,120,72,48
Faulty (F+A),2.5,0.6759281678773204,0.583710407239819,0.4708029197080292,0.7678571428571429,0.6025917926565875,0.00027168384985998273,463,295,168
Faulty (F+A),20,0.6621621621621621,0.5483870967741935,0.38636363636363635,0.9444444444444444,0.4909090909090909,3.576683593564667e-05,55,37,18
Faulty (F+A),25,0.8204301075268817,0.6875,0.6470588235294118,0.7333333333333333,0.782608695652174,0.00011733003339031711,46,31,15
Faulty (F+A),5,0.6337247227658187,0.6125,0.4558139534883721,0.9333333333333333,0.5059760956175299,6.500640301965177e-05,251,146,105
Faulty (F+A),50,0.7185185185185184,0.7,0.6363636363636364,0.7777777777777778,0.75,5.4644446208840236e-05,24,15,9
Sensor 1,10,0.5931712962962964,0.5806451612903226,0.4205607476635514,0.9375,0.4583333333333333,0.00021792839106637985,120,72,48
Sensor 1,2.5,0.606002824858757,0.5445205479452054,0.38221153846153844,0.9464285714285714,0.42548596112311016,0.00027712486917153,463,295,168
Sensor 1,20,0.6681681681681683,0.5714285714285714,0.5,0.6666666666666666,0.6727272727272727,0.0002824740076903254,55,37,18
Sensor 1,25,0.7301075268817205,0.6666666666666666,0.5416666666666666,0.8666666666666667,0.717391304347826,0.00022590684238821268,46,31,15
Sensor 1,5,0.6102087410306588,0.6027397260273972,0.47058823529411764,0.8380952380952381,0.5378486055776892,0.00038651603972539306,251,146,105
Sensor 1,50,0.7259259259259259,0.7058823529411765,0.75,0.6666666666666666,0.7916666666666666,0.0002845022827386856,24,15,9
Sensor 2,10,0.6115451388888888,0.5981308411214953,0.5423728813559322,0.6666666666666666,0.6416666666666667,0.00045921755372546613,120,72,48
Sensor 2,2.5,0.5398002421307506,0.534621578099839,0.36644591611479027,0.9880952380952381,0.3758099352051836,5.8048488426720724e-05,463,295,168
Sensor 2,20,0.5195195195195195,0.4931506849315068,0.32727272727272727,1.0,0.32727272727272727,1.0607057447487023e-05,55,37,18
Sensor 2,25,0.5956989247311828,0.5128205128205128,0.4166666666666667,0.6666666666666666,0.5869565217391305,3.021949487447273e-05,46,31,15
Sensor 2,5,0.5240704500978474,0.5994236311239193,0.4297520661157025,0.9904761904761905,0.44621513944223107,1.696906292636413e-05,251,146,105
Sensor 2,50,0.6259259259259259,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.00015131801774259657,24,15,9
Sensor 3,10,0.5755208333333334,0.5818181818181818,0.41025641025641024,1.0,0.425,6.721376848872751e-05,120,72,48
Sensor 3,2.5,0.6006456820016142,0.5518453427065027,0.3915211970074813,0.9345238095238095,0.44924406047516197,0.00046197051415219903,463,295,168
Sensor 3,20,0.5990990990990991,0.5483870967741935,0.38636363636363635,0.9444444444444444,0.4909090909090909,0.00022864766651764512,55,37,18
Sensor 3,25,0.7236559139784946,0.6086956521739131,0.45161290322580644,0.9333333333333333,0.6086956521739131,0.0002591702505014837,46,31,15
Sensor 3,5,0.6149054142204826,0.620253164556962,0.46445497630331756,0.9333333333333333,0.5219123505976095,0.0004068948037456721,251,146,105
Sensor 3,50,0.8074074074074075,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.7916666666666666,0.0003741464752238244,24,15,9
Sensor 4,10,0.5998263888888888,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.5333333333333333,0.00025690312031656504,120,72,48
Sensor 4,2.5,0.5867130750605327,0.5324881141045958,0.36285097192224625,1.0,0.36285097192224625,8.677359437569976e-05,463,295,168
Sensor 4,20,0.6876876876876876,0.6222222222222222,0.5185185185185185,0.7777777777777778,0.6909090909090909,0.00023500305542256683,55,37,18
Sensor 4,25,0.7021505376344086,0.6046511627906976,0.4642857142857143,0.8666666666666667,0.6304347826086957,0.00012623300426639616,46,31,15
Sensor 4,5,0.5778864970645793,0.5898876404494382,0.41832669322709165,1.0,0.41832669322709165,2.3003809474175796e-05,251,146,105
Sensor 4,50,0.5925925925925926,0.5833333333333334,0.4666666666666667,0.7777777777777778,0.5833333333333334,8.486887963954359e-05,24,15,9
