Dataset,Granularity,AUC,Total Days,Normal,Anom,F1_BestF1,Precision_BestF1,Recall_BestF1,Accuracy_BestF1,F1_ROC_TopLeft,Precision_ROC_TopLeft,Recall_ROC_TopLeft,Accuracy_ROC_TopLeft,F1_Recall_90,Precision_Recall_90,Recall_Recall_90,Accuracy_Recall_90,F1_FPR_10,Precision_FPR_10,Recall_FPR_10,Accuracy_FPR_10
Fault Free,10,0.748119212962963,120,72,48,0.6417910447761194,0.5,0.8958333333333334,0.6,0.6391752577319587,0.6326530612244898,0.6458333333333334,0.7083333333333334,0.6382978723404256,0.4838709677419355,0.9375,0.575,0.5897435897435898,0.7666666666666667,0.4791666666666667,0.7333333333333333
Fault Free,2.5,0.7568502824858757,463,295,168,0.6367924528301887,0.52734375,0.8035714285714286,0.6673866090712743,0.6166666666666667,0.578125,0.6607142857142857,0.7019438444924406,0.596078431372549,0.4444444444444444,0.9047619047619048,0.5550755939524838,0.4728682170542636,0.6777777777777778,0.3630952380952381,0.7062634989200864
Fault Free,20,0.8205705705705706,55,37,18,0.7058823529411765,0.75,0.6666666666666666,0.8181818181818182,0.7,0.6363636363636364,0.7777777777777778,0.7818181818181819,0.6296296296296297,0.4722222222222222,0.9444444444444444,0.6363636363636364,0.6206896551724138,0.8181818181818182,0.5,0.8
Fault Free,25,0.9225806451612903,46,31,15,0.875,0.8235294117647058,0.9333333333333333,0.9130434782608695,0.875,0.8235294117647058,0.9333333333333333,0.9130434782608695,0.875,0.8235294117647058,0.9333333333333333,0.9130434782608695,0.875,0.8235294117647058,0.9333333333333333,0.9130434782608695
Fault Free,5,0.780658838878017,251,146,105,0.6903553299492385,0.7391304347826086,0.6476190476190476,0.7569721115537849,0.6903553299492385,0.7391304347826086,0.6476190476190476,0.7569721115537849,0.6464646464646465,0.5,0.9142857142857143,0.5816733067729084,0.6436781609195402,0.8115942028985508,0.5333333333333333,0.7529880478087649
Fault Free,50,0.7814814814814814,24,15,9,0.75,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.75,0.8571428571428571,0.6666666666666666,0.8333333333333334,0.6206896551724138,0.45,1.0,0.5416666666666666,0.75,0.8571428571428571,0.6666666666666666,0.8333333333333334
Faulty (F+A),10,0.6005497685185185,120,72,48,0.5786163522012578,0.4144144144144144,0.9583333333333334,0.44166666666666665,0.5555555555555556,0.5952380952380952,0.5208333333333334,0.6666666666666666,0.5641025641025641,0.4074074074074074,0.9166666666666666,0.43333333333333335,0.3333333333333333,0.6111111111111112,0.22916666666666666,0.6333333333333333
Faulty (F+A),2.5,0.6556598062953995,463,295,168,0.5688073394495413,0.4626865671641791,0.7380952380952381,0.593952483801296,0.5534246575342465,0.5126903553299492,0.6011904761904762,0.6479481641468683,0.5497287522603979,0.3948051948051948,0.9047619047619048,0.46220302375809935,0.2943722943722944,0.5396825396825397,0.20238095238095238,0.6479481641468683
Faulty (F+A),20,0.6043543543543544,55,37,18,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.6363636363636364,0.5454545454545454,0.46153846153846156,0.6666666666666666,0.6363636363636364,0.5230769230769231,0.3617021276595745,0.9444444444444444,0.43636363636363634,0.17391304347826086,0.4,0.1111111111111111,0.6545454545454545
Faulty (F+A),25,0.8473118279569893,46,31,15,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.782608695652174,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.782608695652174,0.6363636363636364,0.4827586206896552,0.9333333333333333,0.6521739130434783,0.6153846153846154,0.7272727272727273,0.5333333333333333,0.782608695652174
